material_suitability_score,biodegradability_score,recyclability_percent,strength_Low,strength_Medium,weight_capacity_Low,weight_capacity_Medium
0.3157894736842105,0.7894736842105263,0.0,False,False,False,True
0.7018493789399082,0.894736842105263,0.5647058823529412,False,False,False,True
0.5482427542989294,0.9052631578947368,0.188235294117647,False,False,False,True
0.6128956693647656,0.9578947368421054,0.1647058823529411,False,True,False,False
0.5564280652019844,1.0,0.2705882352941177,False,True,False,False
0.5861718079749337,0.6842105263157894,0.3294117647058823,False,False,False,True
0.446997650042896,0.1368421052631579,0.5529411764705882,True,False,False,False
0.5264590249543063,0.736842105263158,0.4588235294117646,True,False,False,False
0.7092170539744116,0.8526315789473684,0.5529411764705882,True,False,True,False
0.9385251221604684,0.9894736842105264,0.9411764705882352,False,False,False,True
0.3180245439964191,0.3263157894736842,0.0470588235294117,False,True,False,False
0.313229139468089,0.2631578947368421,0.4235294117647058,True,False,True,False
0.6258584803610727,0.463157894736842,0.788235294117647,False,True,False,False
0.686997650042896,0.3368421052631579,0.9529411764705882,False,False,False,True
0.6558349807900332,0.831578947368421,0.7176470588235294,False,True,True,False
0.3218068559065985,0.2947368421052631,0.0941176470588235,False,True,True,False
0.4835614905442202,0.2526315789473684,0.5647058823529412,True,False,False,True
0.7165504121750159,0.5263157894736843,1.0,False,True,True,False
0.6063545824163526,0.463157894736842,0.8117647058823529,False,False,True,False
0.4465425789846692,0.3157894736842105,0.776470588235294,True,False,True,False
0.6671446156141595,0.8105263157894738,0.6705882352941176,False,True,True,False
0.3176202021709127,0.4210526315789473,0.2705882352941177,True,False,True,False
0.4976582490954531,0.3578947368421052,0.4705882352941176,False,False,False,False
0.3826759670259987,0.1578947368421052,0.6,False,True,True,False
0.5083322764743182,0.5684210526315789,0.6,False,True,False,True
0.1588332276474318,0.3368421052631579,0.0,False,True,False,True
0.5111462568540415,0.0736842105263158,0.776470588235294,False,False,False,True
0.3363049722108247,0.6631578947368422,0.1294117647058823,False,False,True,False
0.4526479913461896,0.2631578947368421,0.4588235294117646,True,False,True,False
0.7433548435226977,0.736842105263158,0.7058823529411764,False,True,False,False
0.3477787310231638,0.5578947368421052,0.0705882352941176,False,True,False,True
0.2615315752172777,0.0105263157894736,0.5529411764705882,False,True,True,False
0.3050691931813943,0.1263157894736842,0.3411764705882353,False,False,False,True
0.0649468462083628,0.0,0.0117647058823529,False,False,False,True
0.2338259539706814,0.0842105263157894,0.2352941176470588,True,False,False,True
0.7006602260434928,0.9157894736842104,0.8117647058823529,False,True,False,True
