co2_emission_per_kg,recyclability_score,biodegradability_score
1.0620115415713498,-0.0404171465999357,-0.3844915784052375
-0.3225892651703922,-0.4262171823265954,-0.4904229316393336
-1.2613016765207257,-0.5033771894719273,-0.4551124805613016
1.3436252649764495,-0.2718971680359315,-0.3491811273272055
1.202818403273899,-0.5033771894719273,-0.4198020294832695
0.1467669405047744,-0.6576972037625912,-0.4904229316393336
0.4753162844773914,-0.5805371966172592,-0.5257333827173656
-1.3786407279395174,-0.3490571751812635,-0.3491811273272055
0.2641059919235662,-0.5033771894719273,-0.4198020294832695
0.6395909564636993,-0.3490571751812635,-0.3491811273272055
0.8038656284500079,-0.1947371608905996,-0.3491811273272055
-1.6602544513446176,-0.2718971680359315,-0.4198020294832695
1.367093075260208,1.1169829605800432,2.122550448135036
-0.1348467829003256,-0.4262171823265954,-0.4198020294832695
0.8977368695850413,1.3484629820160388,2.1931713502911
1.202818403273899,-0.1947371608905996,-0.3844915784052375
-1.4255763485070343,-0.1175771537452677,-0.4551124805613016
0.4283806639098746,1.1169829605800432,2.405034056759292
-0.0409755417652921,0.5768629105627197,2.54627586107142
-0.3225892651703922,-0.1175771537452677,-0.4904229316393336
1.155882782706383,-0.3490571751812635,-0.3491811273272055
-0.7450098502780423,-0.0404171465999357,-0.4551124805613016
0.7099943873149744,-0.6576972037625912,-0.4904229316393336
-0.7450098502780423,-0.6576972037625912,-0.3491811273272055
1.367093075260208,-0.4262171823265954,-0.4904229316393336
-0.8154132811293174,-0.5033771894719273,-0.4904229316393336
2.071127383772958,2.274383067760022,1.945998192744876
-1.402108538223276,-0.0404171465999357,-0.4551124805613016
1.0854793518551076,-0.6576972037625912,-0.3844915784052375
0.6395909564636993,-0.1175771537452677,-0.3491811273272055
0.8273334387337662,-0.3490571751812635,-0.5257333827173656
-0.8623489016968339,-0.0404171465999357,-0.3491811273272055
-0.7450098502780423,-0.1947371608905996,-0.4198020294832695
0.5926553358961827,-0.1947371608905996,-0.3491811273272055
-1.5429153999258258,-0.2718971680359315,-0.3491811273272055
-0.0175077314815338,-0.5033771894719273,-0.5257333827173656
0.874269059301283,-0.4262171823265954,-0.3844915784052375
0.1937025610722911,-0.3490571751812635,-0.4551124805613016
-1.566383210209584,-0.4262171823265954,-0.5257333827173656
-0.2991214548866338,-0.3490571751812635,-0.4551124805613016
1.2732218341251744,-0.1175771537452677,-0.4904229316393336
1.202818403273899,-0.0404171465999357,-0.4198020294832695
-0.5103317474404591,6.286703439317283,2.051929545978972
-0.4164605063054256,-0.1947371608905996,-0.5257333827173656
-0.9092845222643506,-0.0404171465999357,-0.5257333827173656
-0.3695248857379089,-0.5033771894719273,-0.3844915784052375
-0.0409755417652921,-0.3490571751812635,-0.3844915784052375
-1.4490441587907923,-0.1175771537452677,-0.4904229316393336
-1.402108538223276,-0.3490571751812635,-0.3844915784052375
-1.3317051073720008,-0.5805371966172592,-0.5257333827173656
