biodegradability_score,co2_emission_score,recyclability_percent,industry_category,material_type_Bamboo,material_type_Cardboard,material_type_Cellulose Film,material_type_Compostable Film,material_type_Cotton Fiber,material_type_Glass,material_type_Jute,material_type_Molded Pulp,material_type_PLA Bioplastic,material_type_Paper,material_type_Plastic (HDPE),material_type_Plastic (PET),material_type_Recycled Paper,material_type_Starch-based Bioplastic,strength_Low,strength_Medium,weight_capacity_Low,weight_capacity_Medium,co2_impact_index,cost_efficiency_index,material_suitability_score
0.7894736842105263,1.0,0.0,E-commerce,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0.0,0.39473684210526316,0.31578947368421056
0.894736842105263,0.40963855421686746,0.5647058823529412,E-commerce,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0.5903614457831325,0.7297213622291021,0.7018493789399082
0.9052631578947368,0.4457831325301206,0.18823529411764708,Pharmaceuticals,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.5542168674698794,0.5467492260061919,0.5482427542989294
0.9578947368421054,0.18072289156626506,0.16470588235294117,Electronics,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.8192771084337349,0.5613003095975233,0.6128956693647656
1.0,0.7590361445783134,0.2705882352941177,Pharmaceuticals,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.24096385542168663,0.6352941176470588,0.5564280652019844
0.6842105263157894,0.0963855421686747,0.3294117647058823,Electronics,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.9036144578313253,0.5068111455108358,0.5861718079749337
0.1368421052631579,0.14457831325301207,0.5529411764705882,Clothing,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.8554216867469879,0.344891640866873,0.44699765004289604
0.736842105263158,0.7590361445783134,0.45882352941176463,E-commerce,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.24096385542168663,0.5978328173374613,0.5264590249543063
0.8526315789473684,0.2650602409638554,0.5529411764705882,Cosmetics,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.7349397590361446,0.7027863777089782,0.7092170539744116
0.9894736842105263,0.16867469879518074,0.9411764705882353,Clothing,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.8313253012048193,0.9653250773993808,0.9385251221604685
0.3263157894736842,0.1566265060240964,0.047058823529411764,Electronics,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.8433734939759037,0.186687306501548,0.3180245439964191
0.2631578947368421,0.8072289156626506,0.4235294117647058,Clothing,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,0.19277108433734935,0.343343653250774,0.31322913946808906
0.46315789473684205,0.37349397590361444,0.788235294117647,E-commerce,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0.6265060240963856,0.6256965944272446,0.6258584803610727
0.3368421052631579,0.14457831325301207,0.9529411764705882,Food,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.8554216867469879,0.644891640866873,0.686997650042896
0.831578947368421,0.819277108433735,0.7176470588235294,Clothing,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,0.18072289156626498,0.7746130030959752,0.6558349807900332
0.29473684210526313,0.16867469879518074,0.09411764705882353,Cosmetics,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,0.8313253012048193,0.19442724458204333,0.3218068559065985
0.25263157894736843,0.21686746987951808,0.5647058823529412,Pharmaceuticals,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,0.7831325301204819,0.4086687306501548,0.48356149054422026
0.5263157894736843,0.4698795180722892,1.0,E-commerce,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,0.5301204819277108,0.7631578947368421,0.7165504121750159
0.46315789473684205,0.5180722891566266,0.8117647058823529,Cosmetics,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.4819277108433734,0.6374613003095975,0.6063545824163526
0.3157894736842105,0.9518072289156628,0.776470588235294,Clothing,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.04819277108433717,0.5461300309597523,0.44654257898466926
0.8105263157894738,0.6265060240963856,0.6705882352941176,Electronics,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,0.37349397590361444,0.7405572755417957,0.6671446156141595
0.42105263157894735,0.7951807228915664,0.2705882352941177,Cosmetics,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.20481927710843362,0.3458204334365325,0.31762020217091275
0.35789473684210527,0.16867469879518074,0.47058823529411764,Pharmaceuticals,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8313253012048193,0.41424148606811145,0.4976582490954531
0.15789473684210525,0.6024096385542169,0.6,Food,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,0.3975903614457831,0.3789473684210526,0.3826759670259987
0.5684210526315789,0.7951807228915664,0.6,Cosmetics,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,0.20481927710843362,0.5842105263157895,0.5083322764743182
0.3368421052631579,0.8795180722891567,0.0,Cosmetics,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,0.12048192771084332,0.16842105263157894,0.15883322764743182
0.0736842105263158,0.14457831325301207,0.776470588235294,Pharmaceuticals,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.8554216867469879,0.4250773993808049,0.5111462568540415
0.6631578947368422,0.9036144578313253,0.12941176470588237,Electronics,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.09638554216867468,0.39628482972136225,0.3363049722108247
0.2631578947368421,0.18072289156626506,0.45882352941176463,Pharmaceuticals,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,0.8192771084337349,0.36099071207430333,0.45264799134618966
0.736842105263158,0.16867469879518074,0.7058823529411764,Cosmetics,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.8313253012048193,0.7213622291021672,0.7433548435226977
0.5578947368421052,0.5180722891566266,0.07058823529411765,Pharmaceuticals,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,0.4819277108433734,0.3142414860681114,0.34777873102316387
0.01052631578947369,0.819277108433735,0.5529411764705882,Pharmaceuticals,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,0.18072289156626498,0.28173374613003094,0.26153157521727777
0.12631578947368421,0.40963855421686746,0.3411764705882353,Electronics,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.5903614457831325,0.23374613003095976,0.30506919318139436
0.0,0.6987951807228916,0.011764705882352927,Food,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.3012048192771084,0.005882352941176464,0.06494684620836286
