id,strength,weight_capacity,biodegradability,co2_emission,recyclability,material_type_Bamboo Fiber,material_type_Biodegradable Polymer,material_type_Cork Material,material_type_Glass (Recycled),material_type_Mycelium Packaging,material_type_PLA Bioplastic,material_type_Paper Pulp Composite,material_type_Recycled PET,material_type_Sugarcane Bioplastic,co2_impact_index,cost_efficiency_index,material_suitability_score,rank
1,0.9999999999999999,0.9350912778904664,0.125,3.0,0.23291612717594595,False,False,False,False,False,False,False,False,False,0.0,0.018804530501927375,0.3340832254351892,429.0
2,0.1838832578534972,0.3448275862068965,0.4,1.64,0.41720615738742634,False,False,False,False,False,False,False,True,False,0.4610169491525422,0.011520276254074788,0.36466628322899514,404.0
3,0.524333261447775,0.44421906693711966,0.22499999999999998,1.63,0.915551719177097,True,False,False,False,False,False,False,False,False,0.46440677966101696,0.021991938383058556,0.4977953541126174,260.0
4,0.5586945582632448,0.1379310344827586,0.19999999999999996,2.41,0.9702201122140699,False,False,True,False,False,False,False,False,False,0.20000000000000018,0.0738511469884398,0.4437176620086252,320.0
5,0.5178635612105528,0.8661257606490871,0.825,2.5,0.27003308876420656,False,False,False,False,False,False,True,False,False,0.1694915254237288,0.010612526473283524,0.4733453894114117,298.0
6,0.6711954568327222,0.5943204868154158,0.675,1.26,0.19407279528125448,False,False,False,False,True,False,False,False,False,0.5898305084745767,0.02051107262491868,0.5565710503830756,170.0
7,0.31392423262166624,0.6876267748478702,0.8374999999999999,0.1,0.7505394907207596,False,False,False,False,False,True,False,False,False,0.9830508474576272,0.008490400754444852,0.7256016681639752,37.0
8,0.7493350585867298,0.27991886409736305,0.7874999999999999,0.35,0.44612286002014107,False,True,False,False,False,False,False,False,False,0.898305084745763,0.04888774939791761,0.7373846078371513,34.0
9,0.0931636834160017,0.9046653144016226,0.125,1.6,0.07926916990361105,False,False,False,False,True,False,False,False,False,0.47457627118644075,0.0018534847227398331,0.19528882263133282,487.0
10,0.20940263101142978,0.26369168356997974,0.48749999999999993,0.21,0.5732988059272046,False,False,False,False,False,False,True,False,False,0.9457627118644072,0.01697551361200151,0.5497010969044,175.0
