material_id,material_name,material_type,strength_kg,weight_g_per_m2,biodegradability_score,co2_emission_kg_per_kg,recyclability_percent,cost_kg,water_resistance_score,cost_efficiency_index,sustainability_score,material_suitability
1,Kraft_Paper,Paper,0.13114754098360654,0.4177215189873418,0.901098901098901,0.3827160493827161,0.7142857142857142,0.018181818181818174,0.3,7.173659626154513,0.8263736263736263,3.3652880262859814
2,Corrugated_Carton,Paper,0.4262295081967213,0.44303797468354433,0.846153846153846,0.506172839506173,0.5555555555555556,0.09090909090909093,0.4,4.683372879995938,0.7299145299145298,2.311297869947093
3,Molded_Pulp,Pulp,0.2622950819672131,0.8227848101265823,0.9560439560439559,0.1975308641975309,0.8730158730158728,0.07272727272727271,0.2,3.601605169940512,0.9228327228327227,1.9943417016758385
4,PLA_Bioplastic,Plastic,0.11475409836065574,0.012658227848101264,0.5714285714285713,0.8765432098765433,0.23809523809523803,0.13636363636363635,0.5,0.8409133848292675,0.438095238095238,0.5992224967888498
5,Recycled_PE_Film,Plastic,0.04918032786885246,0.03797468354430379,0.46153846153846145,0.7530864197530865,0.39682539682539675,0.045454545454545456,0.4,1.079592110471716,0.4356532356532356,0.6932287855806278
6,Bamboo_Fiber,Pulp,0.3442622950819672,0.49367088607594933,0.923076923076923,0.3209876543209877,0.7936507936507935,0.10909090909090909,0.4,3.152847594622962,0.8713064713064712,1.7839229206330676
7,Sugarcane_Bagasse,Pulp,0.22950819672131145,0.6962025316455697,0.9560439560439559,0.2592592592592593,0.8730158730158728,0.06363636363636364,0.2,3.6008988217578457,0.9228327228327227,1.994059162402772
8,Jute_Fiber,Textile,0.180327868852459,0.8227848101265823,0.879120879120879,0.44444444444444453,0.6349206349206349,0.05454545454545455,0.4,3.299961000460903,0.7814407814407813,1.78884886904883
9,Hemp_Fiber,Textile,0.21311475409836061,0.7721518987341772,0.901098901098901,0.3827160493827161,0.7142857142857142,0.07272727272727271,0.5,2.926304200576666,0.8263736263736263,1.666345856054842
10,Starch_Bioplastic,Plastic,0.08196721311475409,0.06329113924050633,0.846153846153846,0.6913580246913581,0.39682539682539675,0.09999999999999999,0.3,0.8188532778696713,0.6664224664224663,0.7273947910013483
11,Cornstarch_Packaging,Compostable,0.06557377049180328,0.03797468354430379,0.9560439560439559,0.3827160493827161,0.47619047619047605,0.11818181818181818,0.3,0.5543858853353594,0.7641025641025639,0.6802158925956822
12,Mushroom_Packaging,Compostable,0.1639344262295082,0.569620253164557,0.9890109890109889,0.1358024691358025,0.9523809523809523,0.18181818181818182,0.2,0.9011437152189248,0.9743589743589742,0.9450728707029545
13,Recycled_Paper_Board,Paper,0.2622950819672131,0.569620253164557,0.7912087912087912,0.506172839506173,0.7936507936507935,0.03636363636363636,0.3,7.193333088106067,0.7921855921855921,3.3526445905537825
14,Recycled_PET_Sheet,Plastic,0.3442622950819672,0.3924050632911392,0.46153846153846145,0.8148148148148149,0.39682539682539675,0.08181818181818183,0.5,4.202513867386126,0.4356532356532356,1.942397488346392
15,Bubble_Wrap_Alternative,Paper,0.0,0.08860759493670886,0.901098901098901,0.2592592592592593,0.6349206349206349,0.0,0.1,0.0,0.7946275946275946,0.4767765567765567
16,Coconut_Coir_Packaging,Biofiber,0.14754098360655737,0.6962025316455697,0.923076923076923,0.3209876543209877,0.7142857142857142,0.09090909090909093,0.2,1.6211675353832093,0.8395604395604395,1.1522032778895475
17,Seaweed_BioWrap,Compostable,0.01639344262295081,0.0,0.9999999999999999,0.0740740740740741,0.5555555555555556,0.22727272727272724,0.2,0.07209942379451399,0.8222222222222221,0.5221731028511388
18,Air_Paper_Pods,Paper,0.032786885245901634,0.11392405063291139,0.846153846153846,0.1975308641975309,0.7142857142857142,0.07272727272727271,0.1,0.450200646242564,0.7934065934065933,0.6561242145409816
19,Duplex_Board,Paper,0.360655737704918,0.4683544303797469,0.7362637362637362,0.5679012345679013,0.5555555555555556,0.08181818181818183,0.3,4.4026335753568935,0.663980463980464,2.159441708531036
20,PaperFoam,Compostable,0.0983606557377049,0.31645569620253167,0.9780219780219778,0.1358024691358025,0.7936507936507935,0.16363636363636364,0.2,0.6007257859723247,0.9042735042735041,0.7828544169530323
21,Bagasse_Plates,Fiber,0.22950819672131145,0.24050632911392406,0.923076923076923,0.1358024691358025,0.7936507936507935,0.16363636363636364,0.4,1.401693500602091,0.8713064713064712,1.083461283024719
22,Wheat_Straw_Board,Composite,0.29508196721311475,0.2911392405063291,0.879120879120879,0.1975308641975309,0.7142857142857142,0.2,0.5,1.474672499815666,0.8131868131868131,1.0777810878383542
23,Pine_Wood_Thin,Wood,0.4262295081967213,0.569620253164557,0.6813186813186811,0.3209876543209877,0.47619047619047605,0.36363636363636365,0.6,1.1718089000934577,0.5992673992673991,0.8282839995978226
24,Bamboo_Board,Wood,0.5081967213114754,0.6455696202531646,0.7362637362637362,0.2592592592592593,0.5555555555555556,0.40909090909090917,0.7,1.2419550630792981,0.663980463980464,0.8951703036199976
25,Recycled_Cotton_Fiber,Textile,0.180327868852459,0.2151898734177215,0.9450549450549449,0.1049382716049383,0.8730158730158728,0.10909090909090909,0.3,1.651491597183456,0.9162393162393161,1.210340228616972
26,Jute_Composite,Fiber,0.2622950819672131,0.2911392405063291,0.89010989010989,0.16666666666666669,0.8412698412698412,0.15454545454545454,0.4,1.696105991205305,0.8705738705738704,1.200786718826444
27,PLA_Corn_Based,Plastic,0.39344262295081966,0.17721518987341772,0.9780219780219778,0.0740740740740741,0.39682539682539675,0.3181818181818182,0.5,1.2361454549881512,0.7455433455433453,0.9417841893212677
28,Algae_Bioplastic,Plastic,0.360655737704918,0.16455696202531644,0.9890109890109889,0.04320987654320988,0.31746031746031744,0.2909090909090909,0.4,1.2393280793333847,0.7203907203907203,0.927965663967786
29,Recycled_HDPE,Plastic,0.5901639344262295,0.2151898734177215,0.3516483516483516,0.44444444444444453,0.6349206349206349,0.4545454545454546,0.8,1.2980750792202764,0.4649572649572649,0.7982043906624695
30,Recycled_LDPE,Plastic,0.5081967213114754,0.189873417721519,0.4065934065934066,0.4135802469135803,0.5555555555555556,0.40909090909090917,0.7,1.2419550630792981,0.4661782661782662,0.7764889849386789
31,Honeycomb_Paper,Fiber,0.22950819672131145,0.1518987341772152,0.934065934065934,0.12345679012345684,0.7460317460317458,0.14545454545454545,0.5,1.5767848129001476,0.8588522588522587,1.1460252804714144
32,Molded_Wheat_Fiber,Fiber,0.21311475409836061,0.16455696202531644,0.9560439560439559,0.08641975308641978,0.7777777777777777,0.13636363636363635,0.4,1.5616962861114962,0.8847374847374846,1.1555210052870892
33,Areca_Plate_Fiber,Fiber,0.19672131147540983,0.13924050632911392,0.9890109890109889,0.0617283950617284,0.9047619047619047,0.11818181818181818,0.4,1.6631576560060781,0.9553113553113552,1.2384498755892444
34,Sugarcane_Pulp_Molded,Fiber,0.2459016393442623,0.189873417721519,0.912087912087912,0.1358024691358025,0.8095238095238095,0.17272727272727273,0.5,1.4228173335368395,0.8710622710622711,1.0917642960520983
35,Recycled_Glass_Pellets,Glass,0.8360655737704918,0.8227848101265823,0.13186813186813187,0.6913580246913581,0.23809523809523803,0.6363636363636365,0.9,1.3136109056398864,0.17435897435897435,0.6300597468713391
36,Foam_Starch_Based,Foam,0.13114754098360654,0.11392405063291139,0.9780219780219778,0.04320987654320988,0.9206349206349205,0.09999999999999999,0.3,1.310165244591474,0.9550671550671548,1.0971063908768826
37,Rice_Husk_Composite,Composite,0.32786885245901637,0.2658227848101266,0.901098901098901,0.16666666666666669,0.6825396825396826,0.2090909090909091,0.5,1.5673188375338665,0.8136752136752137,1.1151326632186747
38,Coconut_Fiber_Mesh,Fiber,0.2786885245901639,0.3037974683544304,0.879120879120879,0.1975308641975309,0.6666666666666665,0.19090909090909092,0.6,1.4590327783027,0.794139194139194,1.0600966278045965
39,Hemp_Bioplastic,Plastic,0.4262295081967213,0.24050632911392406,0.846153846153846,0.2592592592592593,0.5238095238095237,0.3181818181818182,0.6,1.339157576237164,0.7172161172161171,0.9659927008245359
40,Recycled_Tin_Metal,Metal,0.6721311475409837,0.6962025316455697,0.021978021978021983,0.8765432098765433,0.0793650793650793,0.7272727272727273,0.95,0.9240532705441528,0.04493284493284491,0.3965810151773681
41,Recycled_Aluminum,Metal,0.7540983606557378,0.620253164556962,0.0769230769230769,0.6296296296296298,0.1587301587301586,0.6818181818181819,0.9,1.105848737813536,0.10964590964590959,0.5081270409129601
42,Recycled_Steel,Metal,0.9180327868852459,0.8227848101265823,0.0,1.0,0.0,0.8181818181818182,0.95,1.1219029513879086,0.0,0.44876118055516345
43,Recycled_Cardboard,Fiber,0.19672131147540983,0.12658227848101267,0.846153846153846,0.1049382716049383,0.9523809523809523,0.07272727272727271,0.4,2.7012038774553844,0.8886446886446885,1.6136683641689666
44,Hardboard_Wood,Wood,0.45901639344262296,0.5949367088607596,0.5714285714285713,0.3209876543209877,0.39682539682539675,0.40909090909090917,0.7,1.121765863426463,0.5015873015873015,0.749658726322966
45,Paper_Cloth_Fiber,Fiber,0.1639344262295082,0.11392405063291139,0.923076923076923,0.1358024691358025,0.8730158730158728,0.09090909090909093,0.3,1.8012972615368994,0.903052503052503,1.2623504064462616
46,Leaf_Plate,Natural,0.11475409836065574,0.08860759493670886,0.9999999999999999,0.024691358024691364,0.9999999999999998,0.045454545454545456,0.3,2.519048257767338,0.9999999999999998,1.607619303106935
47,Mango_Board,Natural,0.2622950819672131,0.24050632911392406,0.7912087912087912,0.1975308641975309,0.6349206349206349,0.27272727272727276,0.5,0.9613961219683927,0.7286935286935287,0.8217745660034743
48,Coffee_Husk_Composite,Composite,0.31147540983606553,0.2658227848101266,0.879120879120879,0.16666666666666669,0.7142857142857142,0.18181818181818182,0.5,1.7121730589159567,0.8131868131868131,1.1727813114784706
49,Banana_Fiber_Sheet,Fiber,0.21311475409836061,0.13924050632911392,0.9670329670329668,0.0617283950617284,0.857142857142857,0.11818181818181818,0.4,1.8017541273399176,0.9230769230769229,1.2745478047821208
50,Pine_Resin_Film,Natural,0.360655737704918,0.17721518987341772,0.7362637362637362,0.2592592592592593,0.5873015873015872,0.2909090909090909,0.5,1.2393280793333847,0.6766788766788766,0.9017385577406799
51,Milk_Protein_Plastic,Plastic,0.2622950819672131,0.1518987341772152,0.9890109890109889,0.012345679012345685,0.9523809523809523,0.09090909090909093,0.3,2.882075618459038,0.9743589743589742,1.737445631999
52,Seaweed_Film,Natural,0.180327868852459,0.08860759493670886,0.9999999999999999,0.024691358024691364,0.984126984126984,0.07272727272727271,0.2,2.4761035543341023,0.9936507936507935,1.586631897924117
53,Recycled_PET_Bottles,Plastic,0.6229508196721312,0.31645569620253167,0.29670329670329665,0.506172839506173,0.47619047619047605,0.4545454545454546,0.8,1.3701903613991806,0.3684981684981684,0.7691750456585733
54,Recycled_Paper_Pulp,Fiber,0.14754098360655737,0.10126582278481014,0.901098901098901,0.1358024691358025,0.9047619047619047,0.08181818181818183,0.4,1.8010773717369113,0.9025641025641025,1.261969410233226
55,Mushroom_Mycelium_Blocks,Natural,0.32786885245901637,0.24050632911392406,0.9890109890109889,0.0,0.8412698412698412,0.13636363636363635,0.4,2.402609670940764,0.9299145299145297,1.5189925863250235
56,Wood_Chipboard,Wood,0.5081967213114754,0.569620253164557,0.6263736263736263,0.2901234567901235,0.5555555555555556,0.36363636363636365,0.7,1.397156765496046,0.598046398046398,0.9176905450262571
57,Recycled_Rubber_Sheets,Rubber,0.9180327868852459,0.949367088607595,0.13186813186813187,0.8148148148148149,0.23809523809523803,0.9090909090909093,0.9,1.0097249958242296,0.17435897435897435,0.5085053829450765
58,Corn_Polysaccharide,Plastic,0.29508196721311475,0.17721518987341772,0.9560439560439559,0.0617283950617284,0.7936507936507935,0.18181818181818182,0.4,1.6220586873940643,0.8910866910866909,1.1834754896096404
59,Cassava_Bioplastic,Plastic,0.2786885245901639,0.16455696202531644,0.9780219780219778,0.04938271604938272,0.9047619047619047,0.13636363636363635,0.3,2.0422182202996493,0.9487179487179485,1.3861180573506289
60,Recycled_Fabric_Fiber,Textile,0.19672131147540983,0.13924050632911392,0.901098901098901,0.14814814814814817,0.8412698412698412,0.15454545454545454,0.3,1.2720794934039787,0.8771672771672772,1.0351321636619577
61,Palm_Leaf_Fiber,Natural,0.1639344262295082,0.11392405063291139,0.9890109890109889,0.037037037037037056,0.9682539682539681,0.10909090909090909,0.3,1.5013559974395059,0.9807081807081806,1.1889673074007108
62,Stone_Paper,Composite,0.4262295081967213,0.3924050632911392,0.3516483516483516,0.3827160493827161,0.47619047619047605,0.36363636363636365,0.8,1.1718089000934577,0.40146520146520137,0.7096026809165039
63,Silk_Fiber_Textile,Textile,0.22950819672131145,0.16455696202531644,0.846153846153846,0.1358024691358025,0.9523809523809523,0.2,0.3,1.146967499856629,0.8886446886446885,0.9919738131294646
64,Clay_Composite,Composite,0.3442622950819672,0.44303797468354433,0.46153846153846145,0.3209876543209877,0.39682539682539675,0.4545454545454546,0.7,0.7572104628784946,0.4356532356532356,0.5642761265433391
65,Coconut_Husk_Molded,Natural,0.22950819672131145,0.189873417721519,0.9560439560439559,0.0740740740740741,0.7936507936507935,0.18181818181818182,0.4,1.2616012013064946,0.8910866910866909,1.0392924951746123
66,Water_Hyacinth_Fiber,Natural,0.180327868852459,0.13924050632911392,0.9780219780219778,0.04320987654320988,0.9206349206349205,0.10909090909090909,0.3,1.651491597183456,0.9550671550671548,1.2336369319136753
67,Recycled_Nylon,Textile,0.39344262295081966,0.31645569620253167,0.3516483516483516,0.506172839506173,0.5555555555555556,0.4545454545454546,0.7,0.865383386146851,0.4332112332112332,0.6060800943854803
