MATERIAL_ID,STRENGTH,WEIGHT_CAPACITY,BIODEGRADABILITY_SCORE,Co2_EMISSION_SCORE,RECYCLABILITY_PERCENTAGE,MATERIAL_TYPE_Aluminum (Recycled),MATERIAL_TYPE_Bamboo Composite,MATERIAL_TYPE_Bioplastic-PHB,MATERIAL_TYPE_Bioplastic-PLA,MATERIAL_TYPE_Compostable Starch Polymer,MATERIAL_TYPE_Glass (Lightweight),MATERIAL_TYPE_Hemp Fiber,MATERIAL_TYPE_Kenaf Fiber,MATERIAL_TYPE_Mushroom Mycelium Material,MATERIAL_TYPE_Palm Leaf,MATERIAL_TYPE_Recycled Cardboard,MATERIAL_TYPE_Recycled HDPE,MATERIAL_TYPE_Recycled PET,MATERIAL_TYPE_Recycled Paperboard,MATERIAL_TYPE_Seaweed-Based Film,MATERIAL_TYPE_Sugarcane Bagasse Fiber,INDUSTRY_CATEGORY_Cosmetics,INDUSTRY_CATEGORY_Electronics,INDUSTRY_CATEGORY_Food & Beverage,INDUSTRY_CATEGORY_Logistics,INDUSTRY_CATEGORY_Pharmaceutical,INDUSTRY_CATEGORY_Retail,CO2_Impact_Index,Cost_Efficiency_Index,Material_Suitability
1.0,63.65822784810127,72.6896551724138,38.62,86.14,24.76,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,14.860000000000001,1.86649016159959,44.477291139240506
1.1983967935871744,43.607594936708864,26.60344827586207,74.26,69.30999999999999,26.74,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,31.690000000000015,2.6319550499052475,47.743037974683546
1.3967935871743486,53.632911392405056,19.77586206896552,3.97,23.77,5.95,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,77.23,3.707701146105929,24.42916455696202
1.595190380761523,34.835443037974684,43.672413793103445,47.53,85.14999999999999,99.01,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,15.850000000000014,1.788180307474702,57.89617721518987
1.7935871743486973,86.21518987341773,70.98275862068965,43.57,78.22,62.38,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,22.779999999999998,2.2062388395136883,66.27107594936709
1.991983967935872,33.58227848101266,41.96551724137931,38.62,84.16,89.11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,16.840000000000003,1.790769043062238,51.75191139240506
2.190380761523046,41.10126582278481,100.0,82.17999999999999,66.34,66.34,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,34.66,1.4005026090747208,60.99650632911393
2.38877755511022,24.81012658227848,84.63793103448276,96.04,60.4,33.67,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,40.6,1.2823062320588012,48.8370506329114
2.5871743486973946,58.64556962025316,60.741379310344826,27.73,88.12,70.3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,12.879999999999999,1.9564734509251687,52.867227848101265
2.785571142284569,69.9240506329114,11.241379310344827,70.3,80.2,65.35000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,20.799999999999997,7.225309556582005,68.66462025316457
2.9839679358717435,37.34177215189874,76.10344827586206,49.51,45.55,79.21000000000001,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,55.45,1.480374847169211,53.552708860759495
3.182364729458918,64.91139240506328,57.32758620689656,76.24,86.14,26.74,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,14.860000000000001,2.123713619328402,56.858556962025304
3.3807615230460923,79.9493670886076,91.46551724137932,18.82,84.16,85.14999999999999,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,16.840000000000003,1.8648250868445073,63.17074683544304
3.5791583166332663,67.41772151898735,64.15517241379311,41.59,95.05,32.68,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,5.950000000000005,2.042060264106411,49.24808860759494
3.7775551102204408,36.08860759493671,84.63793103448276,59.41,56.440000000000005,67.33,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,44.559999999999995,1.415919304393194,52.457443037974684
3.975951903807615,56.13924050632911,77.8103448275862,23.77,68.32000000000001,57.42999999999999,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,32.67999999999999,1.7118108916564445,46.81569620253164
4.174348697394789,52.37974683544304,38.55172413793103,15.85,10.9,94.06,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,90.10000000000001,2.3507194693219873,53.924898734177226
4.3727454909819645,33.58227848101266,9.53448275862069,68.32000000000001,34.660000000000004,61.39,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,66.33999999999999,4.520026892477018,52.345911392405064
4.571142284569138,24.81012658227848,28.310344827586206,3.97,20.8,44.56,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,80.2,1.8671007383063163,24.48305063291139
4.769539078156313,96.24050632911391,93.17241379310344,54.46,100.0,31.69,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1.0,2.0240873521085874,64.34120253164556
