strength_kg,weight_g_per_m2,recyclability_percent,water_resistance_score
0.4262295081967213,0.34177215189873417,0.5238095238095237,0.7058823529411764
0.2622950819672131,0.569620253164557,0.7936507936507935,0.23529411764705882
0.180327868852459,0.2151898734177215,0.8730158730158728,0.23529411764705882
0.11475409836065574,0.08860759493670886,0.9999999999999998,0.23529411764705882
0.1557377049180328,0.10126582278481014,0.9523809523809523,0.23529411764705882
0.45901639344262296,0.5949367088607596,0.5555555555555556,0.5882352941176471
0.1639344262295082,0.12658227848101267,0.984126984126984,0.23529411764705882
0.22950819672131145,0.189873417721519,0.7936507936507935,0.35294117647058826
0.14754098360655737,0.6962025316455697,0.7142857142857142,0.11764705882352942
0.23770491803278687,0.17721518987341772,0.8412698412698412,0.35294117647058826
0.4262295081967213,0.569620253164557,0.47619047619047605,0.5882352941176471
0.7540983606557378,0.620253164556962,0.1587301587301586,0.9411764705882353
0.360655737704918,0.31645569620253167,0.5238095238095237,0.5882352941176471
0.180327868852459,0.11392405063291139,0.9523809523809523,0.23529411764705882
0.22950819672131145,0.1518987341772152,0.7460317460317458,0.47058823529411764
0.31147540983606553,0.2151898734177215,0.7142857142857142,0.35294117647058826
0.5081967213114754,0.569620253164557,0.5555555555555556,0.7058823529411764
0.08196721311475409,0.06329113924050633,0.39682539682539675,0.23529411764705882
0.2459016393442623,0.189873417721519,0.8095238095238095,0.47058823529411764
0.22950819672131145,0.16455696202531644,0.9523809523809523,0.23529411764705882
0.2622950819672131,0.2911392405063291,0.8412698412698412,0.35294117647058826
0.2786885245901639,0.2151898734177215,0.7936507936507935,0.47058823529411764
0.5901639344262295,0.2151898734177215,0.6349206349206349,0.823529411764706
0.39344262295081966,0.31645569620253167,0.5555555555555556,0.7058823529411764
0.360655737704918,0.189873417721519,0.6825396825396826,0.35294117647058826
0.3442622950819672,0.49367088607594933,0.7936507936507935,0.35294117647058826
0.180327868852459,0.13924050632911392,0.9206349206349205,0.23529411764705882
0.180327868852459,0.10126582278481014,0.9523809523809523,0.7058823529411764
0.6721311475409837,0.6962025316455697,0.0793650793650793,1.0
0.360655737704918,0.17721518987341772,0.5873015873015872,0.47058823529411764
0.13114754098360654,0.11392405063291139,0.9206349206349205,0.23529411764705882
0.01639344262295081,0.0,0.5555555555555556,0.11764705882352942
0.19672131147540983,0.12658227848101267,0.8888888888888888,0.35294117647058826
0.8360655737704918,0.8227848101265823,0.23809523809523803,0.9411764705882353
0.180327868852459,0.13924050632911392,0.8412698412698412,0.35294117647058826
0.180327868852459,0.8227848101265823,0.6349206349206349,0.35294117647058826
0.360655737704918,0.31645569620253167,0.5555555555555556,0.5882352941176471
0.45901639344262296,0.5949367088607596,0.39682539682539675,0.7058823529411764
0.13114754098360654,0.08860759493670886,0.9047619047619047,0.35294117647058826
0.2459016393442623,0.16455696202531644,0.8730158730158728,0.35294117647058826
0.5081967213114754,0.620253164556962,0.39682539682539675,0.7058823529411764
0.45901639344262296,0.44303797468354433,0.39682539682539675,0.7058823529411764
0.21311475409836061,0.7721518987341772,0.7142857142857142,0.47058823529411764
0.3442622950819672,0.3924050632911392,0.39682539682539675,0.47058823529411764
0.19672131147540983,0.12658227848101267,0.8730158730158728,0.7058823529411764
