Product_ID,Product_Name,Category,Avg_Weight_g,Fragility_Score,Dimension_L_cm,Dimension_W_cm,Dimension_H_cm,Avg_Weight_g_norm,Fragility_Score_norm,top1_Material_ID,top1_Material_Type,top1_Score,top2_Material_ID,top2_Material_Type,top2_Score,top3_Material_ID,top3_Material_Type,top3_Score,top3_mean_score,top1_score,suitability_mean,suitability_max
111,Product_111,Cosmetics,470.14,0.44,32.6,39.21,18.53,0.2896245906477955,0.4387755102040816,M-1325,Steel,0.8272068722154604,M-0471,Steel,0.8222529494366425,M-1360,Bamboo,0.8144028935386538,0.8212875717302524,0.8272068722154604,0.5341093434627854,0.8272068722154604
171,Product_171,Cosmetics,1032.47,0.1,28.13,9.98,20.58,0.6848023162658646,0.09183673469387756,M-1325,Steel,0.7255928707468265,M-1103,Paper,0.7126022865470306,M-0471,Steel,0.7123729545429306,0.7168560372789292,0.7255928707468265,0.40836882212033676,0.7255928707468265
97,Product_097,Books,807.96,0.77,31.26,17.99,10.21,0.5270277867573684,0.7755102040816326,M-0471,Steel,0.928901179774657,M-1325,Steel,0.9258322265820756,M-1360,Bamboo,0.9247249408348934,0.9264861157305421,0.928901179774657,0.5507287993870971,0.928901179774657
1,Product_001,Cosmetics,593.08,0.64,9.64,12.6,21.8,0.3760207451967,0.6428571428571429,M-1325,Steel,0.8869798142558332,M-0471,Steel,0.8868882405505906,M-1360,Bamboo,0.8812647403848597,0.8850442650637612,0.8869798142558332,0.5542007608439422,0.8869798142558332
33,Product_033,Glassware,144.32,0.58,32.82,28.03,5.94,0.06065440132679307,0.5816326530612245,M-1325,Steel,0.8690479316437212,M-0471,Steel,0.8674976532164062,M-1360,Bamboo,0.8612061863309978,0.8659172570637085,0.8690479316437212,0.5940845518535526,0.8690479316437212
69,Product_069,Apparel,158.1,0.36,15.06,13.4,26.13,0.07033830412233483,0.35714285714285715,M-1325,Steel,0.8032976953993112,M-0471,Steel,0.7963988329910632,M-1103,Paper,0.7886933508944544,0.7961299597616095,0.8032976953993112,0.5549585193536452,0.8032976953993112
60,Product_060,Electronics,521.73,0.1,10.35,30.69,3.84,0.3258794923329914,0.09183673469387756,M-1325,Steel,0.7255928707468265,M-0884,Cotton,0.7132447664299425,M-1103,Paper,0.7126022865470306,0.7171466412412665,0.7255928707468265,0.4702988090665509,0.7255928707468265
2,Product_002,Books,1428.54,0.08,45.61,17.54,6.27,0.9631407328282899,0.07142857142857144,M-0278,Wood,0.6995148294056632,M-1325,Steel,0.6942796985139208,M-0489,Aluminum,0.6940793549660217,0.6959579609618686,0.6995148294056632,0.35715548540589037,0.6995148294056632
40,Product_040,Glassware,688.22,0.18,8.66,21.98,19.7,0.44288043401874944,0.17346938775510204,M-1325,Steel,0.7495020475629757,M-0471,Steel,0.7382270709885098,M-1103,Paper,0.7360149217308534,0.7412480134274463,0.7495020475629757,0.4649088542350884,0.7495020475629757
51,Product_051,Food,1455.9,0.29,39.97,8.91,3.88,0.9823679883062306,0.2857142857142857,M-1360,Bamboo,0.7601675813378862,M-1360,Bamboo,0.7601675813378862,M-0489,Aluminum,0.7566718871980723,0.7590023499579482,0.7601675813378862,0.3897175431191205,0.7601675813378862
31,Product_031,Toys,930.94,0.79,11.43,37.1,8.29,0.6134520513289015,0.7959183673469388,M-0471,Steel,0.9353647088860517,M-1325,Steel,0.9318095207861129,M-1360,Bamboo,0.931411125519514,0.932861785063893,0.9353647088860517,0.5385320357274351,0.9353647088860517
155,Product_155,Electronics,1479.19,0.07,44.45,11.27,13.73,0.9987350489817146,0.06122448979591838,M-0278,Wood,0.6848446611078743,M-1360,Bamboo,0.6812303956570299,M-1360,Bamboo,0.6812303956570299,0.6824351508073114,0.6848446611078743,0.34954925375347073,0.6848446611078743
99,Product_099,Electronics,86.86,0.62,48.85,11.95,2.36,0.02027435382085483,0.6224489795918368,M-1325,Steel,0.8810025200517958,M-0471,Steel,0.8804247114391959,M-1360,Bamboo,0.8745785557002391,0.8786685957304102,0.8810025200517958,0.6073905019394037,0.8810025200517958
22,Product_022,Furniture,252.27,0.57,40.53,14.42,2.13,0.13651632489564156,0.5714285714285714,M-1325,Steel,0.8660592845417026,M-0471,Steel,0.8642658886607087,M-1360,Bamboo,0.8578630939886878,0.8627294223970331,0.8660592845417026,0.5795532583933157,0.8660592845417026
87,Product_087,Cosmetics,1107.93,0.47,7.05,30.72,20.28,0.7378318739546587,0.4693877551020408,M-1325,Steel,0.8361728135215163,M-0471,Steel,0.8319482431037347,M-1360,Bamboo,0.8244321705655848,0.8308510757302786,0.8361728135215163,0.46204817815161575,0.8361728135215163
19,Product_019,Apparel,676.32,0.65,35.26,41.28,3.53,0.4345177022867504,0.653061224489796,M-0471,Steel,0.8901200051062881,M-1325,Steel,0.8899684613578518,M-1360,Bamboo,0.88460783272717,0.8882320997304367,0.8901200051062881,0.5463219790259534,0.8901200051062881
138,Product_138,Glassware,1069.38,0.7,16.13,41.75,27.6,0.710740839646376,0.7040816326530612,M-0471,Steel,0.9062788278847751,M-1325,Steel,0.904911696867945,M-1360,Bamboo,0.9013232944387214,0.904171273063814,0.9062788278847751,0.5059642168204783,0.9062788278847751
64,Product_064,Electronics,567.29,0.52,31.25,15.68,14.34,0.35789680810693053,0.5204081632653061,M-1325,Steel,0.8511160490316095,M-0471,Steel,0.8481070658822217,M-1360,Bamboo,0.8411476322771362,0.8467902490636559,0.8511160490316095,0.5367030859783728,0.8511160490316095
21,Product_021,Furniture,937.19,0.66,40.62,13.3,24.48,0.6178442423646152,0.663265306122449,M-0471,Steel,0.8933517696619855,M-1325,Steel,0.8929571084598704,M-1360,Bamboo,0.8879509250694801,0.891419934397112,0.8933517696619855,0.5156138513441031,0.8933517696619855
23,Product_023,Cosmetics,473.61,0.09,9.1,21.67,11.34,0.2920631351108238,0.0816326530612245,M-1325,Steel,0.7226042236448078,M-0884,Cotton,0.7105430403627205,M-1103,Paper,0.7096757071490529,0.7142743237188603,0.7226042236448078,0.4741049149914756,0.7226042236448078
58,Product_058,Electronics,334.18,0.7,26.09,21.34,15.22,0.19407862373329213,0.7040816326530612,M-0471,Steel,0.9062788278847751,M-1325,Steel,0.904911696867945,M-1360,Bamboo,0.9013232944387214,0.904171273063814,0.9062788278847751,0.5930500190853689,0.9062788278847751
177,Product_177,Furniture,1051.86,0.84,11.62,15.32,18.66,0.698428649735063,0.846938775510204,M-0471,Steel,0.9515235316645388,M-1360,Bamboo,0.9481265872310654,M-1360,Bamboo,0.9481265872310654,0.9492589020422232,0.9515235316645388,0.5319799557262408,0.9515235316645388
104,Product_104,Furniture,787.43,0.64,41.62,11.05,18.33,0.5126003176432558,0.6428571428571429,M-1325,Steel,0.8869798142558332,M-0471,Steel,0.8868882405505906,M-1360,Bamboo,0.8812647403848597,0.8850442650637612,0.8869798142558332,0.5313501202050085,0.8869798142558332
132,Product_132,Food,372.06,0.76,49.99,41.66,25.38,0.22069881516254622,0.7653061224489796,M-0471,Steel,0.9256694152189595,M-1325,Steel,0.9228435794800569,M-1360,Bamboo,0.9213818484925831,0.9232982810638665,0.9256694152189595,0.5992428035720481,0.9256694152189595
172,Product_172,Electronics,74.05,0.02,40.26,43.09,28.23,0.011272119074055856,0.010204081632653062,M-1325,Steel,0.7016836939306773,M-0884,Cotton,0.691630957892167,M-1103,Paper,0.6891896513632081,0.6941681010620174,0.7016836939306773,0.507022401008096,0.7016836939306773
133,Product_133,Toys,223.8,0.01,49.85,34.93,29.56,0.11650901628975813,0.0,M-1325,Steel,0.6986950468286587,M-0884,Cotton,0.688929231824945,M-1103,Paper,0.6862630719652302,0.6912957835396113,0.6986950468286587,0.48719800112882805,0.6986950468286587
36,Product_036,Toys,1222.18,0.72,36.54,25.13,13.73,0.8181211260875066,0.7244897959183674,M-0471,Steel,0.9127423569961699,M-1325,Steel,0.9108889910719823,M-1360,Bamboo,0.9080094791233421,0.9105469423971648,0.9127423569961699,0.49071683412896394,0.9127423569961699
