timestamp,weight,volume,fragility,best_material,eco_score,relative_cost,co2
2026-01-14 15:11:06,55.0,2.0,1,MAT01516,100.0,0.93,0.0
2026-01-14 15:11:23,55.0,4.0,1,MAT01516,100.0,0.93,0.0
2026-01-14 15:14:00,55.0,2.0,1,MAT01516,100.0,0.93,0.0
2026-01-14 15:14:03,55.0,2.0,1,MAT01516,100.0,0.93,0.0
2026-01-14 15:15:47,55.0,3.0,1,MAT01516,100.0,0.93,0.0
2026-01-14 15:16:10,55.0,3.0,1,MAT01516,100.0,0.93,0.0
2026-01-14 15:21:59,55.0,2.0,1,MAT01516,100.0,0.93,0.0
2026-01-14 15:41:24,55.0,3.0,1,MAT01516,100.0,0.93,0.0
2026-01-14 15:43:16,2.0,300.0,3,MAT01516,100.0,0.93,0.0
2026-01-14 15:46:14,55.0,2.0,2,MAT01516,100.0,0.93,0.0
2026-01-18 19:00:10,55.0,12.0,3,MAT01516,100.0,0.93,0.0
2026-01-18 19:09:58,55.0,12.0,5,MAT01516,100.0,0.93,0.0
2026-01-18 19:11:20,34.0,11.0,1,MAT01516,100.0,0.93,0.0
2026-01-18 20:36:05,55.0,120.0,1,MAT01516,100.0,0.93,0.0
